study_id,analysis_id,analysis_feature_id,source_metabolite_id,source_reported_name,refmet_name,missing_fraction,isotope_internal_standard_row,excluded_as_isotope_internal_standard,passes_missingness_threshold,nonconstant_after_imputation,included_in_pca
ST001521,AN002534,ST001521|AN002534|ME367718,ME367718,7-dehydro-desmosterol,7-Dehydro-desmosterol,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367729,ME367729,CE(14:0),CE 14:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367731,ME367731,CE(16:0),CE 16:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367730,ME367730,CE(16:1),CE 16:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367735,ME367735,CE(18:0),CE 18:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367734,ME367734,CE(18:1),CE 18:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367733,ME367733,CE(18:2),CE 18:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367732,ME367732,CE(18:3),CE 18:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367738,ME367738,CE(20:3),CE 20:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367737,ME367737,CE(20:4),CE 20:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367736,ME367736,CE(20:5),CE 20:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367741,ME367741,CE(22:4),CE 22:4,0.006666666666666667,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367740,ME367740,CE(22:5),CE 22:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367739,ME367739,CE(22:6),CE 22:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367714,ME367714,Cer(d18:1/16:0),Cer 18:1;O2/16:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367715,ME367715,Cer(d18:1/22:0),Cer 18:1;O2/22:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367716,ME367716,Cer(d18:1/24:0),Cer 18:1;O2/24:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367717,ME367717,Cer(d18:1/24:1),Cer 18:1;O2/24:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367747,ME367747,DG(30:0),DG 30:0,0.66,False,False,False,False,False
ST001521,AN002534,ST001521|AN002534|ME367749,ME367749,DG(32:0),DG 32:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367748,ME367748,DG(32:1),DG 32:1,0.03333333333333333,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367753,ME367753,DG(34:0),DG 34:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367752,ME367752,DG(34:1),DG 34:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367751,ME367751,DG(34:2),DG 34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367750,ME367750,DG(34:3),DG 34:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367757,ME367757,DG(36:0),DG 36:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367756,ME367756,DG(36:1),DG 36:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367755,ME367755,DG(36:2),DG 36:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367754,ME367754,DG(36:3),DG 36:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367758,ME367758,DG(36:4),DG 36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367760,ME367760,DG(38:4),DG 38:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367759,ME367759,DG(38:5),DG 38:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367620,ME367620,LPC(14:0),LPC 14:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367622,ME367622,LPC(16:0),LPC 16:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367621,ME367621,LPC(16:1),LPC 16:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367625,ME367625,LPC(18:0),LPC 18:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367624,ME367624,LPC(18:1),LPC 18:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367623,ME367623,LPC(18:2),LPC 18:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367628,ME367628,LPC(20:3),LPC 20:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367627,ME367627,LPC(20:4),LPC 20:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367626,ME367626,LPC(20:5),LPC 20:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367629,ME367629,LPC(22:6),LPC 22:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367630,ME367630,LPE(16:0),LPE 16:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367633,ME367633,LPE(18:0),LPE 18:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367632,ME367632,LPE(18:1),LPE 18:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367631,ME367631,LPE(18:2),LPE 18:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367635,ME367635,LPE(20:0),LPE 20:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367634,ME367634,LPE(20:4),LPE 20:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367637,ME367637,LPE(22:0),LPE 22:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367636,ME367636,LPE(22:6),LPE 22:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367743,ME367743,MG(14:1)_A,MG 14:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367742,ME367742,MG(14:1)_B,MG 14:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367744,ME367744,MG(16:1),MG 16:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367745,ME367745,MG(18:0),MG 18:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367746,ME367746,MG(22:1),MG 22:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367619,ME367619,PC(12:0/12:0),PC 12:0/12:0,0.0,False,False,True,False,False
ST001521,AN002534,ST001521|AN002534|ME367639,ME367639,PC(30:0),PC 30:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367638,ME367638,PC(30:1),PC 30:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367642,ME367642,PC(32:0),PC 32:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367641,ME367641,PC(32:1),PC 32:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367640,ME367640,PC(32:2),PC 32:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367648,ME367648,PC(34:0),PC 34:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367647,ME367647,PC(34:1),PC 34:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367645,ME367645,PC(34:2),PC 34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367646,ME367646,PC(34:2-OH),PC 34:2;O,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367644,ME367644,PC(34:3),PC 34:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367643,ME367643,PC(34:4),PC 34:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367655,ME367655,PC(36:0),PC 36:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367654,ME367654,PC(36:1),PC 36:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367653,ME367653,PC(36:2),PC 36:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367652,ME367652,PC(36:3),PC 36:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367649,ME367649,PC(36:4)_A,PC 36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367650,ME367650,PC(36:4)_B,PC 36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367651,ME367651,PC(36:4-OH),PC 36:4;O,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367659,ME367659,PC(38:2),PC 38:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367658,ME367658,PC(38:3),PC 38:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367657,ME367657,PC(38:4),PC 38:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367656,ME367656,PC(38:6),PC 38:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367660,ME367660,PC(40:10),PC 40:10,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367662,ME367662,PC(40:6),PC 40:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367661,ME367661,PC(40:9),PC 40:9,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367667,ME367667,PC(P-34:0)/PC(O-34:1)_A,PC P-34:0 or PC O-34:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367668,ME367668,PC(P-34:0)/PC(O-34:1)_B,PC P-34:0 or PC O-34:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367666,ME367666,PC(P-34:1)/PC(O-34:2),PC P-34:1 or PC O-34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367665,ME367665,PC(P-34:2)/PC(O-34:3),PC P-34:2 or PC O-34:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367664,ME367664,PC(P-34:3)/PC(O-34:4),PC P-34:3 or PC O-34:4,0.013333333333333334,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367663,ME367663,PC(P-34:4)/PC(O-34:5),PC P-34:4 or PC O-34:5,0.12666666666666668,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367674,ME367674,PC(P-36:0)/PC(O-36:1),PC P-36:0 or PC O-36:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367673,ME367673,PC(P-36:1)/PC(O-36:2),PC P-36:1 or PC O-36:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367672,ME367672,PC(P-36:2)/PC(O-36:3),PC P-36:2 or PC O-36:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367671,ME367671,PC(P-36:3)/PC(O-36:4),PC P-36:3 or PC O-36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367669,ME367669,PC(P-36:4)/PC(O-36:5)_A,PC P-36:4 or PC O-36:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367670,ME367670,PC(P-36:4)/PC(O-36:5)_B,PC P-36:4 or PC O-36:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367677,ME367677,PC(P-38:3)/PC(O-38:4),PC P-38:3 or PC O-38:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367676,ME367676,PC(P-38:5)/PC(O-38:6),PC P-38:5 or PC O-38:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367675,ME367675,PC(P-38:6)/PC(O-38:7),PC P-38:6 or PC O-38:7,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367678,ME367678,PC(P-40:6)/PC(O-40:7),PC P-40:6 or PC O-40:7,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367679,ME367679,PE(32:0),PE 32:0,0.12666666666666668,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367681,ME367681,PE(34:0),PE 34:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367680,ME367680,PE(34:2),PE 34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367686,ME367686,PE(36:0),PE 36:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367685,ME367685,PE(36:1),PE 36:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367684,ME367684,PE(36:2),PE 36:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367683,ME367683,PE(36:3),PE 36:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367682,ME367682,PE(36:4),PE 36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367690,ME367690,PE(38:2),PE 38:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367689,ME367689,PE(38:4),PE 38:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367688,ME367688,PE(38:5),PE 38:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367687,ME367687,PE(38:6),PE 38:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367691,ME367691,PE(40:6),PE 40:6,0.29333333333333333,False,False,False,False,False
ST001521,AN002534,ST001521|AN002534|ME367693,ME367693,PE(P-34:1)/PE(O-34:2),PE P-34:1 or PE O-34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367692,ME367692,PE(P-34:2)/PE(O-34:3),PE P-34:2 or PE O-34:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367698,ME367698,PE(P-36:0)/PE(O-36:1),PE P-36:0 or PE O-36:1,0.16,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367697,ME367697,PE(P-36:1)/PE(O-36:2),PE P-36:1 or PE O-36:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367696,ME367696,PE(P-36:2)/PE(O-36:3),PE P-36:2 or PE O-36:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367695,ME367695,PE(P-36:3)/PE(O-36:4),PE P-36:3 or PE O-36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367694,ME367694,PE(P-36:4)/PE(O-36:5),PE P-36:4 or PE O-36:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367702,ME367702,PE(P-38:2)/PE(O-38:3),PE P-38:2 or PE O-38:3,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367701,ME367701,PE(P-38:4)/PE(O-38:5),PE P-38:4 or PE O-38:5,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367700,ME367700,PE(P-38:5)/PE(O-38:6),PE P-38:5 or PE O-38:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367699,ME367699,PE(P-38:6)/PE(O-38:7),PE P-38:6 or PE O-38:7,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367703,ME367703,PE(P-40:6)/PE(O-40:7),PE P-40:6 or PE O-40:7,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367704,ME367704,PE(P-44:12)/PE(O-44:13),PE P-44:12 or PE O-44:13,0.006666666666666667,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367706,ME367706,PI(34:0),PI 34:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367705,ME367705,PI(34:2),PI 34:2,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367707,ME367707,PI(36:4),PI 36:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367708,ME367708,PI(38:4),PI 38:4,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367709,ME367709,PS(34:0),PS 34:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367710,ME367710,PS(38:6),PS 38:6,0.23333333333333334,False,False,False,False,False
ST001521,AN002534,ST001521|AN002534|ME367711,ME367711,PS(40:6),PS 40:6,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367713,ME367713,PS(P-36:0)/PS(O-36:1),PS P-36:0 or PS O-36:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367712,ME367712,PS(P-36:2)/PS(O-36:3),PS P-36:2 or PS O-36:3,0.013333333333333334,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367719,ME367719,SM(d18:1/14:0),SM 18:1;O2/14:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367721,ME367721,SM(d18:1/16:0),SM 18:1;O2/16:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367720,ME367720,SM(d18:1/16:1),SM 18:1;O2/16:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367723,ME367723,SM(d18:1/18:0),SM 18:1;O2/18:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367722,ME367722,SM(d18:1/18:1),SM 18:1;O2/18:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367724,ME367724,SM(d18:1/20:0),SM 18:1;O2/20:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367726,ME367726,SM(d18:1/22:0),SM 18:1;O2/22:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367725,ME367725,SM(d18:1/22:1),SM 18:1;O2/22:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367728,ME367728,SM(d18:1/24:0),SM 18:1;O2/24:0,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367727,ME367727,SM(d18:1/24:1),SM 18:1;O2/24:1,0.0,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367761,ME367761,TG(41:0),TG 41:0,0.56,False,False,False,False,False
ST001521,AN002534,ST001521|AN002534|ME367762,ME367762,TG(42:0),TG 42:0,0.10666666666666667,False,False,True,True,True
ST001521,AN002534,ST001521|AN002534|ME367765,ME367765,TG(43:0),TG 43:0,0.37333333333333335,False,False,False,False,False
